X,Y,Theta1,Theta2,Success,Timestamp,Source,Execution_Time,Distance_Error
12.0,2.0,-77.05,173.03,True,2025-06-01T11:20:20.058868,Form,0.03,0.0
12.0,2.0,-77.05,173.03,True,2025-06-01T11:20:28.062686,Form,0.03,0.0
50.0,6.0,-68.57,150.83,True,2025-06-01T11:20:37.882785,Form,0.01,0.0
12.0,100.0,23.39,119.52,True,2025-06-05T08:11:30.566783,Form,0.01,0.0
20.0,37.0,-16.25,155.72,True,2025-06-05T08:13:41.316521,Form,0.02,0.0
2.0,100.0,28.86,119.99,True,2025-06-05T08:16:10.680224,Form,0.01,0.0
34.0,43.0,-22.43,148.18,True,2025-06-05T08:19:15.420178,Form,0.01,0.0
60.0,70.0,-13.15,125.1,True,2025-06-05T08:19:23.997136,Form,0.01,0.0
10.0,102.0,25.23,118.35,True,2025-06-05T08:21:46.379287,Form,0.01,0.0
10.0,30.0,-9.34,161.81,True,2025-06-05T08:29:07.913014,Form,0.03,0.0
12.0,34.0,-9.05,159.23,True,2025-06-05T08:37:09.858795,Form,0.01,0.0
23.0,100.0,17.91,118.26,True,2025-06-05T08:37:40.630111,API,0.01,0.0
12.0,100.0,23.39,119.52,True,2025-06-05T08:37:58.675880,Form,0.01,0.0
23.0,100.0,17.91,118.26,True,2025-06-05T08:38:08.542911,Form,0.01,0.0
23.0,100.0,17.91,118.26,True,2025-06-05T08:38:17.408131,API,0.02,0.0
100.0,100.0,0.0,90.0,True,2025-06-05T08:38:29.343896,API,0.01,0.0
15.0,33.0,-14.0,159.12,True,2025-06-05T10:20:17.813412,Form,0.01,0.0
2.0,33.0,6.05,160.97,True,2025-06-05T10:20:29.593695,API,0.01,0.0
42.0,55.0,-17.12,139.51,True,2025-06-05T10:21:07.215249,API,0.01,0.0
2.0,3.0,-32.66,177.93,True,2025-06-05T10:27:08.530300,API,0.01,0.0
2.0,50.0,12.2,151.02,True,2025-06-05T10:27:16.523522,API,0.01,0.0
30.0,40.0,-22.39,151.04,True,2025-06-05T10:28:48.149837,Form,0.02,0.0
30.0,33.0,-29.39,154.23,True,2025-06-05T10:30:25.841423,Form,0.01,0.0
50.0,90.0,1.93,118.03,True,2025-06-05T10:36:54.073393,Form,0.01,0.0
20.0,70.0,5.4,137.31,True,2025-06-08T17:23:11.345147,Form,0.03,0.0
40.0,50.0,-19.99,142.66,True,2025-06-08T17:23:21.755874,Form,0.01,0.0
1.0,2.0,-25.92,178.72,True,2025-06-08T17:23:26.747434,Form,0.01,0.0
1.0,1.0,-44.59,179.19,True,2025-06-08T17:23:30.927839,Form,0.01,0.0
2.0,2.0,-44.19,178.38,True,2025-06-08T17:23:34.018314,Form,0.01,0.0
7.0,8.0,-38.14,173.91,True,2025-06-08T17:23:36.890216,Form,0.01,0.0
5.0,6.0,-37.57,175.52,True,2025-06-08T17:23:39.129763,Form,0.01,0.0
45.0,77.0,-3.82,127.03,True,2025-06-08T17:23:43.678880,Form,0.02,0.0
56.0,3.0,-70.65,147.43,True,2025-06-08T17:23:46.970675,Form,0.01,0.0
78.0,56.0,-25.63,122.62,True,2025-06-08T17:23:50.499017,Form,0.01,0.0
44.0,55.0,-18.04,138.76,True,2025-06-08T17:23:54.655105,Form,0.01,0.0
78.0,56.0,-25.63,122.62,True,2025-06-08T17:23:57.814857,Form,0.01,0.0
33.0,44.0,-20.91,148.08,True,2025-06-08T17:24:01.432915,Form,0.01,0.0
98.0,77.0,-13.3,102.91,True,2025-06-08T17:24:04.921881,Form,0.01,0.0
56.0,56.0,-21.67,133.35,True,2025-06-08T17:24:08.351134,Form,0.02,0.0
90.0,88.0,-6.64,101.99,True,2025-06-08T17:24:13.007492,Form,0.02,0.0
45.0,66.0,-10.75,132.92,True,2025-06-08T17:24:17.772423,Form,0.01,0.0
77.0,66.0,-18.93,119.06,True,2025-06-08T17:24:22.631725,Form,0.01,0.0
12.0,12.0,-40.13,170.26,True,2025-06-08T17:24:25.844418,Form,0.01,0.0
13.0,12.0,-42.22,169.85,True,2025-06-08T17:24:29.092961,Form,0.01,0.0
-2.0,3.0,34.72,177.93,True,2025-06-08T17:24:33.146239,Form,0.01,0.0
-9.0,34.0,24.95,159.74,True,2025-06-08T17:24:41.133215,Form,0.01,0.0
-90.0,100.0,84.26,95.45,True,2025-06-08T17:24:51.659682,Form,0.02,0.0
-100.0,120.0,91.16,77.29,True,2025-06-08T17:24:59.264293,Form,0.01,0.0
-120.0,-120.0,-166.95,63.9,True,2025-06-08T17:25:13.190937,Form,0.03,0.0
90.0,-100.0,-95.74,95.45,True,2025-06-08T17:25:20.255918,Form,0.01,0.0
-89.0,114.0,84.29,87.37,True,2025-06-08T17:25:33.364527,Form,0.01,0.0
62.0,12.0,-60.64,143.19,True,2025-06-08T17:25:57.769565,Form,0.02,0.0
-90.0,-90.0,-185.48,100.95,True,2025-06-08T17:26:04.537492,Form,0.01,0.0
-80.0,-80.0,-190.55,111.1,True,2025-06-08T17:26:09.090910,Form,0.01,0.0
-70.0,-70.0,-195.33,120.66,True,2025-06-08T17:26:14.974036,Form,0.02,0.0
